mortgage_loan_id,contract_no,customer_id,product_code,branch_code_raw,loan_principal,interest_rate_annual,disbursement_date_raw,maturity_date_raw,outstanding_principal,outstanding_interest,total_outstanding
58,ML-2023-000058,3992,CAR,BR-CT01,2318679284,10.5,2022-06-22,22-06-2037,1750461278,39569435,1790030713
59,ML-2023-000059,372,CAR,BR-HN01,2253462417,10.0,04.06.2022,04 Thg 6 2032,548409978,16856793,565266771
60,ML-2024-000060,2214,BUSINESS,CAN_THO_1,2986110098,7.5,18/05/2021,18 Thg 5 2040,1755144252,14683682,1769827934
61,ML-2024-000061,3737,CAR,Da Nang CN1,3348494026,9.5,2020-09-14,2037-09-14,3206680595,109389393,3316069988
62,ML-2021-000062,4475,HOME,DA_NANG_1,3329719886,10.5,08.08.2023,08 Thg 8 2037,3121594146,99410653,3221004799
63,ML-2021-000063,4570,CAR,Ho Chi Minh Q1,3969673229,10.0,10-01-2022,10/01/2047,2504325766,59615368,2563941134
64,ML-2024-000064,2320,CAR,CAN_THO_1,3295732958,10.5,02-07-2021,02 Thg 7 2046,3265185473,142951562,3408137035
65,ML-2021-000065,4213,HOME,BR-HCM02,3929416688,8.0,24/01/2023,24/01/2046,2261742699,88240797,2349983496
66,ML-2022-000066,3907,HOME,BR-HCM02,3958304095,10.5,23.11.2022,2033-11-23,2790322609,137225337,2927547946
67,ML-2021-000067,3297,HOME,BR-CT01,4047699292,11.0,2021-12-10,10-12-2032,1759511489,48374263,1807885752
68,ML-2021-000068,4430,BUSINESS,HA_NOI_CN1,2581341978,8.5,03.03.2021,03 Thg 3 2038,811817018,19629002,831446020
69,ML-2022-000069,4666,CAR,HAI_PHONG_1,4635328947,11.0,18/11/2022,18 Thg 11 2034,4589538183,110896033,4700434216
70,ML-2023-000070,2763,BUSINESS,HP-01,1597602688,10.5,08.02.2023,08-02-2044,696849694,35939095,732788789
71,ML-2023-000071,3007,BUSINESS,Ha Noi CN1,4629747796,7.5,25/05/2023,25/05/2044,1630160085,24483054,1654643139
72,ML-2021-000072,1234,HOME,BR-HCM01,2193321208,10.0,10-02-2021,10/02/2044,670559351,21173790,691733141
73,ML-2022-000073,1858,HOME,HP-01,3866852761,9.5,24-05-2023,24 Thg 5 2036,1208799873,55879201,1264679074
74,ML-2023-000074,4382,BUSINESS,CT-01,4982815180,10.5,2020-05-18,18-05-2044,3982312146,85662637,4067974783
75,ML-2023-000075,2345,BUSINESS,CT-01,1304257438,7.5,2022-10-08,08-10-2046,686869813,8031781,694901594
76,ML-2020-000076,767,CAR,Ha Noi CN1,4577475494,8.0,18/04/2020,18 Thg 4 2042,3370802487,107125734,3477928221
77,ML-2024-000077,4574,BUSINESS,HAI_PHONG_1,3420719599,10.5,20.08.2020,2038-08-20,1698127193,49453012,1747580205
78,ML-2021-000078,3386,HOME,CT-01,3244974316,10.0,09/07/2020,09 Thg 7 2033,2369528889,84516779,2454045668
79,ML-2024-000079,1870,HOME,BR-HCM01,3679257051,9.0,2021-10-07,07/10/2037,1702935453,24372327,1727307780
80,ML-2024-000080,1996,CAR,BR-CT01,4526368665,8.5,2022-03-04,2036-03-04,3765883197,62474776,3828357973
81,ML-2022-000081,67,CAR,HCM_Q1,1439744790,8.5,2023-09-04,04 Thg 9 2048,879094298,10731839,889826137
82,ML-2024-000082,3305,CAR,Hai Phong CN1,4781218702,9.5,2023-11-01,01 Thg 11 2048,3580549484,100721632,3681271116
83,ML-2023-000083,4270,CAR,BR-HCM01,937088959,8.5,21-10-2022,21-10-2044,566414855,13099350,579514205
84,ML-2020-000084,3056,BUSINESS,HA_NOI_CN1,2147136322,9.0,27.06.2023,27 Thg 6 2045,592757071,14441639,607198710
85,ML-2022-000085,2244,HOME,Ha Noi CN1,4395648684,11.0,2020-02-27,27 Thg 2 2032,3497490954,95818877,3593309831
86,ML-2021-000086,1724,HOME,BR-DN01,824979361,10.0,02-12-2023,02-12-2042,546412552,10113851,556526403
87,ML-2023-000087,1208,BUSINESS,Da Nang CN1,3939017775,10.0,25-02-2022,25 Thg 2 2039,3858808665,164914192,4023722857
88,ML-2024-000088,3169,HOME,BR-HP01,3278436070,7.5,23-05-2021,23-05-2041,1131468434,13348549,1144816983
89,ML-2023-000089,3988,CAR,BR-CT01,431671246,9.0,15-07-2023,15-07-2038,335528033,12403156,347931189
90,ML-2024-000090,1172,BUSINESS,BR-HN01,4093925798,8.5,2021-10-02,02 Thg 10 2039,2207493174,64327640,2271820814
91,ML-2023-000091,1783,HOME,HCM_Q3,788842470,10.5,22.05.2020,2039-05-22,407208936,14525813,421734749
92,ML-2020-000092,1410,CAR,Hai Phong CN1,1397447932,10.0,16.01.2020,16/01/2035,874894466,16801848,891696314
93,ML-2024-000093,4992,BUSINESS,DN-01,609561891,7.5,2023-01-15,15 Thg 1 2043,319129000,8522100,327651100
94,ML-2022-000094,3127,HOME,BR-DN01,2039600515,10.0,15-10-2021,15 Thg 10 2033,804934828,27009468,831944296
95,ML-2024-000095,851,CAR,BR-HN01,1758198451,10.0,2021-02-17,17-02-2037,1374741143,58781104,1433522247
96,ML-2021-000096,1962,BUSINESS,HA_NOI_CN1,741542090,9.5,20/03/2021,20/03/2033,441435275,16849117,458284392
97,ML-2024-000097,4339,CAR,CAN_THO_1,1657806226,11.0,15-08-2020,2038-08-15,1004414242,24766791,1029181033
98,ML-2023-000098,4222,BUSINESS,BR-DN01,544340918,9.5,2020-11-28,28 Thg 11 2042,350257849,13866384,364124233
99,ML-2020-000099,100,BUSINESS,HAI_PHONG_1,1108482355,11.0,2021-01-15,2041-01-15,794672854,10110029,804782883
100,ML-2023-000100,2573,HOME,HCM_Q3,1862929828,9.5,25-07-2023,25-07-2034,863938558,26525161,890463719
101,ML-2023-000101,112,CAR,CT-01,945848526,8.0,10.06.2021,2035-06-10,612094198,17500865,629595063
102,ML-2022-000102,2524,CAR,HA_NOI_CN1,2560842187,10.5,12-01-2022,12/01/2037,2453631540,75874577,2529506117
103,ML-2021-000103,2833,BUSINESS,HA_NOI_CN1,965484476,9.5,2020-09-25,25/09/2040,484070644,7583157,491653801
104,ML-2024-000104,58,BUSINESS,Can Tho CN1,3397457395,7.5,22/06/2023,22-06-2047,2809834140,40799039,2850633179
105,ML-2021-000105,3634,HOME,CN-HCM-02,1133293142,11.0,25.05.2023,25/05/2046,953107895,16288171,969396066
106,ML-2022-000106,4496,HOME,BR-CT01,3053842979,10.0,2020-12-28,2039-12-28,1277218031,59023116,1336241147
107,ML-2021-000107,2183,BUSINESS,HN-01,4988874079,9.0,01.06.2023,01 Thg 6 2034,2490292233,57032623,2547324856
108,ML-2020-000108,3017,HOME,DN-01,1264386641,10.0,21-12-2020,21/12/2034,543058510,23454948,566513458
109,ML-2021-000109,1388,CAR,DA_NANG_1,4617520995,8.0,07/05/2020,2043-05-07,1801351187,21434542,1822785729
110,ML-2021-000110,1355,CAR,DA_NANG_1,2974951016,8.0,2020-08-20,20/08/2037,1616561948,44736584,1661298532
111,ML-2021-000111,1583,HOME,HAI_PHONG_1,3169961166,10.0,2020-09-18,18 Thg 9 2042,2246033611,110598236,2356631847
112,ML-2022-000112,1662,CAR,BR-HN01,590166087,9.0,24-10-2020,2034-10-24,375824253,14388927,390213180
113,ML-2021-000113,1779,CAR,DA_NANG_1,879187439,11.0,2020-05-07,2036-05-07,832323920,28030071,860353991
114,ML-2024-000114,981,HOME,HN-01,1387974350,9.0,2022-06-28,28-06-2042,1165168281,28814902,1193983183
115,ML-2023-000115,2115,BUSINESS,HAI_PHONG_1,1960626647,8.5,16-12-2023,2041-12-16,1057953607,24481726,1082435333
116,ML-2021-000116,3160,HOME,Ha Noi CN1,1679592595,8.0,10-11-2022,10 Thg 11 2046,1262737610,24307072,1287044682
117,ML-2020-000117,269,BUSINESS,CN-HCM-02,4371218314,8.0,17/06/2023,17/06/2033,3245503259,71470948,3316974207
118,ML-2021-000118,4431,CAR,BR-HN01,3070953471,10.0,02/10/2023,02-10-2047,1704844215,22291549,1727135764
119,ML-2021-000119,4214,BUSINESS,HP-01,2009543220,9.5,01/02/2021,01 Thg 2 2046,591225292,23027427,614252719
120,ML-2023-000120,2863,BUSINESS,Can Tho CN1,2409688769,8.0,15/02/2021,2045-02-15,2347154909,92877833,2440032742
121,ML-2022-000121,1841,BUSINESS,BR-HN01,1263110410,9.0,26.04.2021,26-04-2031,830901722,21459374,852361096
122,ML-2024-000122,3682,BUSINESS,Hai Phong CN1,670292681,9.5,24.12.2023,24 Thg 12 2046,173606186,8064081,181670267
123,ML-2020-000123,2311,CAR,HN-01,2522044336,8.5,2021-03-14,14/03/2034,836626831,16289513,852916344
124,ML-2021-000124,2945,BUSINESS,CT-01,638700713,9.0,21-03-2022,21/03/2034,608864186,8859578,617723764
125,ML-2024-000125,4584,BUSINESS,CT-01,2720721027,7.5,21-01-2020,21 Thg 1 2036,1934957623,43422658,1978380281
126,ML-2024-000126,3921,CAR,DN-01,1597484349,9.0,2023-05-15,15/05/2034,850656257,21878808,872535065
127,ML-2022-000127,761,HOME,Hai Phong CN1,3385345100,10.0,25-03-2023,25-03-2036,1940405515,40164195,1980569710
128,ML-2021-000128,3564,BUSINESS,Can Tho CN1,715802902,9.5,14/10/2023,14-10-2038,556109238,9294640,565403878
129,ML-2021-000129,3119,HOME,HN-01,2304955678,9.5,03.01.2023,03/01/2047,1536656994,17439534,1554096528
130,ML-2022-000130,1271,HOME,CN-HCM-02,4630088974,8.0,09-03-2023,09-03-2045,2409800632,63254887,2473055519
131,ML-2021-000131,832,CAR,Ho Chi Minh Q3,615816454,11.0,2022-10-22,2036-10-22,307020631,16707650,323728281
132,ML-2024-000132,575,HOME,HCM_Q3,2486664545,7.5,05-01-2020,05 Thg 1 2045,1703386145,39118555,1742504700
133,ML-2022-000133,3586,CAR,HCM_Q3,3918947732,10.0,19-12-2023,2048-12-19,1822278069,26211982,1848490051
134,ML-2023-000134,2864,HOME,Ha Noi CN1,4709415955,11.0,26/11/2022,26 Thg 11 2033,2916945680,124647053,3041592733
135,ML-2023-000135,3930,CAR,Can Tho CN1,1340226318,8.0,15-01-2021,15/01/2044,1008386561,21309302,1029695863
136,ML-2024-000136,2041,HOME,HAI_PHONG_1,4862463391,8.5,11.09.2021,11-09-2043,2760570355,73503830,2834074185
137,ML-2024-000137,2881,BUSINESS,DN-01,2379537716,9.0,10/09/2022,10-09-2041,870487807,29927002,900414809
138,ML-2022-000138,4286,HOME,CAN_THO_1,1474491176,8.0,27-07-2023,27-07-2037,634184955,19566204,653751159
139,ML-2022-000139,2865,BUSINESS,Ho Chi Minh Q3,3509794402,9.0,09-09-2021,2035-09-09,2782258882,49007137,2831266019
140,ML-2020-000140,488,BUSINESS,HCM_Q1,525447588,10.5,2022-12-16,2036-12-16,516162177,8843677,525005854
141,ML-2023-000141,1674,CAR,HCM_Q3,1533708056,9.5,21/02/2020,21/02/2031,1389226589,22477645,1411704234
142,ML-2020-000142,1325,CAR,CAN_THO_1,3684265148,8.5,01-01-2022,01-01-2035,2076007008,62912607,2138919615
143,ML-2024-000143,2434,BUSINESS,HAI_PHONG_1,2465576952,9.5,11/02/2021,11-02-2045,860385897,32257140,892643037
144,ML-2022-000144,3713,HOME,HCM_Q1,1708434291,10.5,05.03.2020,05/03/2040,698114466,14235875,712350341
145,ML-2022-000145,1516,HOME,DN-01,349116110,10.0,2021-01-22,22-01-2045,183053198,5510051,188563249
146,ML-2022-000146,74,BUSINESS,BR-HN01,4339999237,10.0,05.04.2021,05 Thg 4 2035,4301244647,107294520,4408539167
147,ML-2024-000147,3639,HOME,HCM_Q3,3572162158,8.0,23-09-2023,2035-09-23,3082844682,113733604,3196578286
148,ML-2021-000148,3140,HOME,Hai Phong CN1,1006681697,11.0,07.11.2020,07 Thg 11 2032,566505937,19024915,585530852
149,ML-2023-000149,1149,HOME,BR-DN01,2700015680,9.5,2020-07-09,2036-07-09,1455194801,52553815,1507748616
150,ML-2024-000150,4585,CAR,BR-HN01,4891402257,11.0,14/05/2020,14 Thg 5 2034,4863449257,135345431,4998794688
151,ML-2023-000151,2721,HOME,DA_NANG_1,4939638390,8.5,06.02.2022,06/02/2036,3976129971,166077713,4142207684
152,ML-2023-000152,3882,HOME,CN-HCM-02,3836306171,9.0,05-06-2023,2039-06-05,3251586154,78339364,3329925518
153,ML-2020-000153,928,CAR,HCM_Q1,589012242,7.5,2023-10-22,2040-10-22,324646024,7691771,332337795
154,ML-2020-000154,1612,CAR,Ho Chi Minh Q1,2774375067,10.0,05/05/2021,05-05-2044,690170492,33087332,723257824
155,ML-2021-000155,4319,CAR,DA_NANG_1,2687360437,7.5,22.11.2022,22 Thg 11 2042,858273284,16130221,874403505
156,ML-2024-000156,2866,CAR,HCM_Q3,3947891535,9.5,02.08.2021,02/08/2044,1556601570,26815257,1583416827
157,ML-2020-000157,794,HOME,CAN_THO_1,3938410176,8.0,09.01.2021,2032-01-09,3322917380,89063084,3411980464
158,ML-2024-000158,2299,BUSINESS,CN-HCM-01,4195676325,9.5,2020-04-07,07/04/2045,2867833830,49531790,2917365620
159,ML-2021-000159,3149,CAR,Ha Noi CN1,3630806782,10.5,21-09-2023,21-09-2042,2215711573,69541539,2285253112
160,ML-2020-000160,1455,CAR,CAN_THO_1,1172425923,10.0,19/01/2023,2037-01-19,753458641,25136341,778594982
161,ML-2023-000161,351,CAR,Ha Noi CN1,954602021,10.0,19/07/2021,19-07-2046,773884881,22864308,796749189
162,ML-2023-000162,1612,BUSINESS,HCM_Q3,1812585138,8.5,2023-03-18,2034-03-18,432866203,3773316,436639519
163,ML-2021-000163,4004,BUSINESS,HA_NOI_CN1,4886887374,8.5,17.04.2020,2041-04-17,3470583717,139700457,3610284174
164,ML-2023-000164,1622,BUSINESS,HN-01,367567428,10.5,17-01-2020,2039-01-17,312625572,12132805,324758377
165,ML-2021-000165,1928,CAR,BR-DN01,4242989764,8.5,20-04-2021,20-04-2042,1116820226,45919320,1162739546
166,ML-2023-000166,180,HOME,HA_NOI_CN1,1270049535,8.0,13.02.2020,13 Thg 2 2042,900971184,27471552,928442736
167,ML-2020-000167,3242,CAR,HN-01,3930663819,10.0,02/09/2020,02 Thg 9 2036,932548326,12098809,944647135
168,ML-2022-000168,3223,HOME,HCM_Q1,1650701477,9.0,27.12.2021,27-12-2033,1074881601,31602651,1106484252
169,ML-2023-000169,4114,CAR,CT-01,3477181331,8.0,04.01.2022,2039-01-04,2378861430,65760501,2444621931
170,ML-2024-000170,1408,HOME,HN-01,1701777036,9.5,08-08-2023,08 Thg 8 2045,1265706687,43800453,1309507140
171,ML-2020-000171,3605,CAR,HCM_Q3,3362777850,8.0,13/03/2022,13-03-2044,959201222,7833074,967034296
172,ML-2022-000172,1702,HOME,HAI_PHONG_1,1458638062,8.5,14.03.2020,2043-03-14,396304775,10836349,407141124
173,ML-2024-000173,3897,BUSINESS,Ha Noi CN1,4009641319,7.5,2022-07-13,13/07/2039,2023207346,23601121,2046808467
174,ML-2022-000174,4349,HOME,DN-01,2417951204,8.0,09.07.2021,09 Thg 7 2040,1182136173,45175467,1227311640
175,ML-2023-000175,3959,CAR,Da Nang CN1,2266500767,8.5,13-01-2022,13-01-2044,1060244079,38408577,1098652656
176,ML-2024-000176,4264,BUSINESS,Can Tho CN1,1590359719,9.0,06.06.2023,06-06-2043,1202258215,32071756,1234329971
177,ML-2024-000177,1503,BUSINESS,Can Tho CN1,1699670743,9.5,04/06/2023,2038-06-04,967618777,35238690,1002857467
178,ML-2023-000178,1575,BUSINESS,DN-01,4892001513,10.5,21-03-2023,21-03-2040,1581655451,44715572,1626371023
179,ML-2023-000179,1307,HOME,BR-HN01,2868106346,10.5,02-09-2023,2035-09-02,2082478429,52916548,2135394977
180,ML-2024-000180,2863,BUSINESS,BR-CT01,3077742652,10.0,2023-02-01,01/02/2041,2454445664,79327037,2533772701
181,ML-2024-000181,1447,CAR,Hai Phong CN1,2214604319,10.5,19/11/2023,2044-11-19,628149231,17569942,645719173
182,ML-2020-000182,110,CAR,BR-HP01,3435973483,10.0,15/06/2022,15-06-2047,955538813,37151117,992689930
183,ML-2023-000183,3245,BUSINESS,BR-HCM02,1589624427,8.0,2020-06-21,21/06/2035,539776981,7084218,546861199
184,ML-2024-000184,2670,HOME,DA_NANG_1,4416565613,9.0,06/11/2023,06 Thg 11 2046,3488692415,142309015,3631001430
185,ML-2023-000185,1637,CAR,CN-HCM-02,4614080072,9.0,2021-05-25,25/05/2034,2126112401,54155942,2180268343
186,ML-2022-000186,2753,BUSINESS,DA_NANG_1,3044950470,10.5,04-10-2023,04 Thg 10 2044,1029260279,39925759,1069186038
187,ML-2022-000187,4234,BUSINESS,BR-HP01,3186690817,10.0,2020-04-10,10-04-2035,997710940,25480071,1023191011
188,ML-2024-000188,3496,CAR,Hai Phong CN1,2768773157,10.5,21/08/2021,21 Thg 8 2036,864514055,20499669,885013724
189,ML-2023-000189,3163,BUSINESS,Ho Chi Minh Q1,4388130061,11.0,27.04.2021,27 Thg 4 2046,2603831704,110002162,2713833866
190,ML-2023-000190,613,HOME,DA_NANG_1,1018348264,7.5,02-05-2021,02-05-2038,839721992,20547588,860269580
191,ML-2023-000191,2323,CAR,BR-HN01,2759788151,9.5,2022-09-27,27/09/2046,778075769,31934320,810010089
192,ML-2021-000192,3390,BUSINESS,CT-01,438428506,9.5,2022-02-15,15/02/2039,293895777,6707868,300603645
193,ML-2024-000193,1427,CAR,CAN_THO_1,4849907251,10.0,18/10/2022,18-10-2042,3192153003,153529451,3345682454
194,ML-2024-000194,2963,BUSINESS,BR-DN01,4849598229,9.5,28/12/2021,28/12/2038,2219551359,41965235,2261516594
195,ML-2023-000195,1096,BUSINESS,HN-01,3016145826,10.5,2023-08-03,03-08-2045,2862530174,74428616,2936958790
196,ML-2023-000196,4101,HOME,Ha Noi CN1,2799480048,8.0,22-11-2023,22 Thg 11 2035,2728101324,93833385,2821934709
197,ML-2023-000197,2371,BUSINESS,HP-01,1518023007,8.5,2023-06-22,2034-06-22,1255574756,30291720,1285866476
198,ML-2020-000198,407,CAR,HA_NOI_CN1,2195308730,7.5,23/04/2023,23/04/2042,602989812,11042589,614032401
199,ML-2020-000199,3010,HOME,HCM_Q3,522424647,9.5,2021-07-21,2034-07-21,303761390,4417477,308178867
200,ML-2021-000200,3549,HOME,CAN_THO_1,339887139,10.0,23/07/2020,2045-07-23,172137860,6753060,178890920
201,ML-2020-000201,1709,BUSINESS,BR-CT01,1645834347,9.5,25/07/2021,2035-07-25,1070834091,35007848,1105841939
202,ML-2021-000202,839,BUSINESS,HN-01,3513790202,10.5,2023-04-03,2037-04-03,2754837236,69599576,2824436812
203,ML-2023-000203,1620,BUSINESS,CT-01,3697648387,9.0,03/11/2022,2041-11-03,3330330468,54604251,3384934719
204,ML-2024-000204,3487,CAR,Da Nang CN1,3511963986,9.5,16.04.2020,16/04/2033,2495130527,30436740,2525567267
205,ML-2020-000205,154,HOME,CT-01,4311174770,8.5,14-10-2023,14 Thg 10 2038,919795696,9930213,929725909
206,ML-2022-000206,2039,HOME,Da Nang CN1,4766022354,7.5,10.09.2023,10 Thg 9 2046,3395456498,80233485,3475689983
207,ML-2021-000207,3976,CAR,CT-01,659046710,8.0,18-03-2021,2043-03-18,500177374,15684896,515862270
208,ML-2021-000208,748,HOME,BR-HN01,1350032570,10.5,2020-08-20,20/08/2039,283685013,4613539,288298552
209,ML-2020-000209,4700,CAR,Can Tho CN1,1413457241,10.0,25-12-2021,2034-12-25,1195341392,24957800,1220299192
210,ML-2020-000210,4890,CAR,DN-01,631013265,11.0,16/01/2022,16/01/2043,516587315,26009040,542596355
211,ML-2020-000211,1005,HOME,Da Nang CN1,311031667,7.5,16-01-2021,16/01/2043,293902550,9764781,303667331
212,ML-2024-000212,2070,BUSINESS,HCM_Q3,1682129132,10.5,2022-05-27,2043-05-27,1242522469,15795231,1258317700
213,ML-2021-000213,235,BUSINESS,BR-DN01,4397739848,8.0,25-05-2023,2043-05-25,2486468656,49245554,2535714210
214,ML-2022-000214,3563,CAR,Ha Noi CN1,1341890333,10.0,24/04/2023,2037-04-24,294046019,9310028,303356047
215,ML-2020-000215,4412,HOME,HP-01,4601246694,10.5,07/02/2022,07 Thg 2 2045,4500237314,74162499,4574399813
